ID_EQUIP_CONFUSO,TEMP_VAL_RAW,PRES_PSI_RAW,STATUS_TXT,OP_GENERO_ERR,CONS_KWH_VAL
WEG-AUT-1000,80.41549860661794,5.9538038337951,Ativo,M,143.63813714252953
WEG-AUT-1001,73.74822483770257,8.526058232019226,Ativo,F,119.28301124422815
WEG-AUT-1002,82.00072965005728,6.229241083614347,Manutenção,M,109.09838793249236
WEG-AUT-1003,91.19181349228427,6.522981268006157,Ativo,F,106.83573964705643
WEG-AUT-1004,72.74138956540497,4.435769328758388,Ativo,M,124.99078994377783
WEG-AUT-1005,72.7415619520336,5.3370940287447315,Ativo,F,100.00277987284187
WEG-AUT-1006,91.78173456282761,5.674725067546488,Ocioso,M,116.28996054155373
WEG-AUT-1007,83.25806465610555,5.755198864541272,Ocioso,M,124.99845802485032
WEG-AUT-1008,70.270518947683,7.994301313005276,Manutenção,M,139.48724730821502
WEG-AUT-1009,80.89688045765263,6.980767485015175,Ativo,M,130.01322120554994
WEG-AUT-1010,70.33411422546915,4.643958860288155,Ativo,F,109.28902323026732
WEG-AUT-1011,70.3098375875123,6.545106689804807,Ativo,M,137.6762897634558
WEG-AUT-1012,77.74060385144337,6.897510447895499,Ativo,M,115.50727443678784
WEG-AUT-1013,55.11055743109313,7.7962086539297735,Ativo,M,101.46445466925887
WEG-AUT-1014,57.08836275861316,8.412756961195722,Manutenção,M,117.41937961101792
WEG-AUT-1015,69.29598094296979,4.778868131440984,Manutenção,F,141.57253801718554
WEG-AUT-1016,64.56527323648855,5.064799484305527,Manutenção,F,122.47860075097388
WEG-AUT-1017,78.49959699225037,4.439390997519538,Ativo,M,120.18782796494679
WEG-AUT-1018,65.6657472070273,5.872372197250226,Ativo,F,144.5581746705428
WEG-AUT-1019,9999.0,6.852901724224869,Ativo,M,98.52967729418359
WEG-AUT-1020,90.58931207367633,7.582268323224743,Ativo,M,100.71601328920842
WEG-AUT-1021,72.82934884489138,,Manutenção,F,95.76230293549752
WEG-AUT-1022,75.9090461492232,5.752213467443219,Ativo,M,125.58972279720082
WEG-AUT-1023,60.24014404475871,6.412461189148237,Ativo,F,122.49739690672686
WEG-AUT-1024,69.48398139248559,5.030799937717968,Ativo,F,143.14104550919663
WEG-AUT-1025,76.36468719195359,9.125354210372683,Ativo,M,123.65212615705155
WEG-AUT-1026,63.11456743706582,3.9492745620347183,Manutenção,F,113.93764260781046
WEG-AUT-1027,79.14482919262956,6.458636810454014,Ativo,F,120.0269230931716
WEG-AUT-1028,68.89329375585255,9.033048706921495,Manutenção,M,121.76561127691437
WEG-AUT-1029,72.13721562717059,6.209519782383997,Ativo,F,94.9235809000775
WEG-AUT-1030,68.88208057159133,5.933945350997908,Ativo,M,160.6549746650234
WEG-AUT-1031,94.64892093734385,5.699576408065402,Manutenção,F,127.79806527152867
WEG-AUT-1032,75.0582791402517,5.947451645532629,Ativo,F,123.15012462033883
WEG-AUT-1033,64.09403524596306,8.121987864547142,Ocioso,M,129.22745976417872
WEG-AUT-1034,83.8367215770835,3.1033933241386906,Ativo,M,130.64116470879907
WEG-AUT-1035,62.38114167530427,8.346807181814857,Ativo,F,117.89169771746353
WEG-AUT-1036,77.39306774754994,4.206459986569797,Ativo,M,110.53138295638949
WEG-AUT-1037,54.62346369926236,5.826686739071819,Ocioso,M,128.99176029482555
WEG-AUT-1038,61.25404648656648,5.599057811581874,Ativo,M,125.78566260797179
WEG-AUT-1039,77.2670429766258,7.023974577679008,Manutenção,M,107.85164851365887
WEG-AUT-1040,82.95389908995182,3.962625907362754,Ativo,M,141.28553417050895
WEG-AUT-1041,76.9993669524947,6.84704173251472,Ativo,M,124.40028054484475
WEG-AUT-1042,73.98569303492347,9.034033472601593,Ativo,M,130.94729043401446
WEG-AUT-1043,72.03841119631247,4.291556393570065,Ativo,F,140.87881331519878
WEG-AUT-1044,59.675519101142015,,Ativo,M,120.32833231747252
WEG-AUT-1045,67.64163581185556,5.273224951084748,Manutenção,M,124.75428010476173
WEG-AUT-1046,70.36329290492223,6.79624208867025,Ativo,M,132.15040857759175
WEG-AUT-1047,86.29978337529862,6.226806888382053,Ativo,M,109.12708374299922
WEG-AUT-1048,78.80799204046885,5.301918327337967,Ativo,M,120.81077494269002
WEG-AUT-1049,56.68807836869129,6.883021198819503,Ativo,M,121.88322879976722
WEG-AUT-1050,78.60288167864535,8.726087353701441,Ativo,M,105.65912172474908
WEG-AUT-1051,71.15663605562868,5.932734691581782,Ativo,F,154.7645518301082
WEG-AUT-1052,68.09231899678744,7.207661119007454,Ativo,F,98.89059834761396
WEG-AUT-1053,81.62260103282911,4.389417858980371,Ativo,F,100.52844144469263
WEG-AUT-1054,86.02549498620749,4.860989072454788,Ativo,F,139.7133986355537
WEG-AUT-1055,84.9784412507201,6.861368789032529,Ativo,F,130.69899376194815
WEG-AUT-1056,66.3882160061623,8.27776243995035,Ativo,M,104.61052773778833
